text,label
it is really aggressive to blast obnoxious entertainment in your guests faces amp they have little recourse,0
and it is a really big bad thing about it,0
seriously would pay 30 a flight for seats that did not have this playing. it is really the only bad thing about flying va,0
sfopdx schedule is still mia.,0
i flew from nyc to sfo last week and could not fully sit in my seat due to two large gentleman on either side of me. help!,0
why are your first fares in may over three times more than other carriers when all seats are available to select???,0
you guys messed up my seating... i reserved seating with my friends and you guys gave my seat away ... i want free internet,0
status match program. i applied and it is been three weeks. called and emailed with no response.,0
what happened 2 you are vegan food options?! at least say on you are site so i know i will not be able 2 eat anything for next 6 hrs,0
amazing to me that we cannot get any cold air from the vents.,0
"hi! i just bked a cool birthday trip with you, but i cannot add my elevate no. because i entered my middle name during flight booking problems",0
"help, left expensive headphones on flight 89 iad to lax today. seat 2a. no one answering lampf number at lax!",0
"awaiting my return phone call, just would prefer to use your online selfservice option",0
your chat support is not working on your site,0
"hey, first time flyer next week excited! but i am having a hard time getting my flights added to my elevate account. help?",0
hi! i am so excited about your 99 lgagtdal deal but i have been trying 2 book since last week amp the page never loads. thanks!,0
i called a 34 weeks ago about adding 3 flights from 2014 to my elevate...they still have not shown up...help!,0
heyyyy guyyyys... been trying to get through for an hour. can someone call me please?,0
"hi, virgin! i am on hold for 4050 minutes are there any earlier flights from la to nyc tonight earlier than 1150pm?",0
everything was fine until you lost my bag,0
your airline is awesome but your lax loft needs to step up its game. 40 for dirty tables and floors?,0
what is going on with customer service? is there anyway to speak to a human as soon as possible? thank you.,0
why cannot you supp the biz traveler like and have customer service like,0
you are the best!! whenever i begrudgingly use any other airline i am delayed and late flight,0
i have no interesting flying with you after this. i will cancelled flight my next four flights i planned.,0
it was a disappointing experience which will be shared with every business traveler i meet.,0
i am having trouble adding this flight my wife booked to my elevate account. help?,0
why is the site down? when will it be back up?,0
i like the tv and interesting video . just disappointed in cancelled flightled flight when other flights went out to jfk on saturday .,0
"just landed in lax, an hour after i should of been here. your no late flight bag check is not business travel friendly",0
"is it me, or is your website down? by the way, your new website is not a great user experience. time for another redesign.",0
i cannot check in or add a bag. your website is not working. i have tried both desktop and mobile,0
let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin?,0
what is your phone number. i cannot find who to call about a flight reservation.,0
is anyone doing anything there today? website is useless and no one is answering the phone.,0
why must a traveler miss a flight to late flight check a bag? i missed my morning appointments and you lost my business.,0
how is a direct flight fllgtsfo have unexpected layover in vegas 4 fuel yet peeps next to me bought for vegas flight.,0
your no late flight bag check just lost you my business. i missed flight and am apt. three other people on flight had same exp.,0
called your service line and was hung up on. this is awesome.,0
your site is tripping. i am trying to check in and i am getting the plain text version. i am reluctant to enter any card info.,0
should i be concerned that i am about to fly on a plane that needs to be delayed due to a tech stop?,0
use another browser! 2015 amp a brand with a reputation built on tech response does not have a crossbrowser compatible website?,0
"and now the flight flight booking problems site is totally down. folks, what is the problem?",0
i like the customer service but a 40 min delay just for connecting passengers seems too long. va370,0
i need to change my flight that is scheduled in 9 hours and 120 min wait time on phone. i am calling intern. help!!,0
you are failing your customers because your check in process does not link to tsa precheck.,0
us too! terrible airline! just gave us a hotel hotline number and said sorry,0
your assistance yesterday when you cancelled flightled our flight was to give us a hotel hotline shame on you!,0
another delayed flight?,0
i need to register a service dog for a first class ticket from sfo gt dulles. the phone queue is an hour or longer. pls advise,0
why cannot we book seats on your flights when we buy them or even during check in? creates so much anxiety!,0
you would think paying an extra 100 bucks rt for luggage might afford you hiring an extra hand at,0
please provide status for flight 769. i cannot imagine it is on time as the web indicates dude to weather here andor dallas,0
"i paid the premium to fly you across the country, you cancelled flight my flight and offer no check fee or upgrade love? sad face",0
question is it not possible to book a seat for an infant under 2? it is not giving me the option but we want a seat for him.,0
. i do not understand why you need a dm to give me an answer on if you have a damaged luggage policy.,0
. does that mean you do not have a policy for destroyed luggage?,0
having problems flight booking problems on the web site. keeps giving me an error and to contact by phone. phone is 30 minute wait.,0
how do i reschedule my cancelled flightled flights online? the change button is greyed out!,0
"i rang, but there is a wait for 35 minutes!! i can book the same ticket through a vendor, fix your site",0
"got a flight we were told for 450 today...,checked my email and its for 450 tomorrow. this is unacceptable.",0
"our flight into lga was cancelled flighted. we are stuck in dallas. i called to reschedule, told i could get a flight for today...12",0
why do not any of the pairings include red wine?! only white is offered,0
is the website down?,0
your site seems a little wonked right now. may want to have a look. tried on two browsers. no css?,0
i am disappointed that the agent at the designated silver status check in line closed to assist all pasengers,0
is it normal to receive no reply from central baggage,0
at logan airport and waiting to checkin for my 9am flight. checkin desk not open !!!!! why?!,0
"congrats, you just got all my business from ewr to sfolax. fuck you fl1289 sfoewr was the clincher...",0
i applied over 2 weeks ago. have not heard back and i am flying this week,0
too many apologies! you r the worse airlines! do not even respond to your cudtomers,0
shame on va for making people spend money in stranded cities when other airlines are landing at jfk! who will reimburse me?,0
too bad you say it takes 10 to 14 days via your confirmation email. when i inquired after 3 weeks you claim 6 to 8 weeks!,0
flight from bos gt las tomorrow was cancelled flightled. no notification wait times are 1 hour. will you rebook on another airline?,0
a lot of apologies being thrown out to customers from what i can see.very sad. thanks for nothing. worst airline ever.,0
for all my flight stuff wrong and did nothing about it. had ever,0
trying to book a flight with you guys and your website will not let me... about to lose my business,0
you suck!,0
just dmd. same issue persisting.,0
because we never recd cancelled flightlation notice we were left w no options to fly out of ps. driving to la for a red eye mon w kids,0
trying to book a flight amp your site is down,0
you have any flights flying into boston tomorrow? i need to be home and you cancelled flightled my flight and did not do anything,0
you stink. flight cancelled flighted from psp to jfk and no notification or ability to rebook . better,0
your website is down and i am trying to check in!,0
seats in row 8 do not recline should mention that on your website,0
flight 404 delayed 2 hours in la due to mechanical problems. handle like pros but you could have tossed us a free drink.,0
why cancelled flight flights today? no precipitation to be scared of!,0
you guys charged me 100 to reschedule a flight that was then cancelled flighted and are now refusing to refund it. what is the deal?,0
cannot access your website from safari on iphone 6. seems to work on mac and ipad. need iphone to add passbook.,0
"your mobile site is broken, shows header.elevateuser.numofpointsavailable 0 number points, will not let me checkin",0
i was really looking forward to my flight. can you let me know when it will be rescheduled?,0
"why cancelled flight flight vx413? one sec its delayed, on my to airport, the next its cancelled flightled?going to email or call me to reschedule?",0
i did it but there was a problem in the link from the email for checkin. thanks,0
had to change to another airline to get to dc today ... why is able to land in dc but not you? cost me 800 ...ugh,0
i was so looking forward to my first flight with you today but it was cancelled flightled along with the subsequent one ...,0
how are you going to have a deal from dallas to dc but no deal from dc to dallas?,0
hold times at call center are a bit much,0
site down?,0
"trying to reset my password, email never arrives. help?",0
what is the reason for the delay of the departure of vx 413 from jfk this afternoon?,0
"is todays flight from palm springs, ca to jfk in ny cancelled flightled?",0
"the css on your site is a 404 right now, please fix. site unusable.",0
"we are on flight 910 vegas to boston today, checked in online but our bag count did not register. can i fix that somehow?",0
"hi, i am trying to do checkin but the website is not working. i tried 3 different browsers and the problem continues",0
"the passenger in 7d, flt 338 that assaulted me should not have flown. i trust he is banned. crew filed report to",0
current bug on website shows select departure city when selecting destination city,0
luggage was severely dentedmissing wheel coming off baggage claim in san. luggage agent miranda i think was not any help.,0
requested window seat and confirmed window but got stuck in middle seat. not a good way to treat silver member,0
i paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!,0
there is something wrong with you website in safari iphone,0
already checked in so the page expired x,0
boo for a not refunding a seat upgrade fee i did not want to buy in the first place!,0
moved my seat with no notice. better seat is cabin select not behind the row i selected,0
already contacted central baggage amp sent dm. is charging me for the dress that was in the lost suitcase,0
is there anything going on with the website? i have been getting a lot of errors past 30 minutes.,0
i have just checked in flight to sfo from lax amp been told as atlantic flying club gold i get no benefits?!,0
husband and i ordered three drinks via my screen and they never came. awesome!,0
soooo are you guys going to leave the seatbelt light on all flight? you can barely call this turbulence,0
"funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. i dislike this!",0
i am trying to check into my 1050am ct flight tmm on the desktop website and it is not working some sort of caching bug so is,0
do you guys know your checkin links from emails are broken?,0
"lost my luggage 4 days ago on flight vx 112 from lax to iad amp i am calling every day, no response.please give me back my stuff",0
the flight booking problems section of your website seems to be broken on chrome. might want to look into that.,0
looks like a broken link for your assets,0
the manage itinerary section of your website seems to be broken for me,0
"cannot check in, your site looks like this every time it loads",0
other carriers are less than half price for a round trip fare. i am stunned.,0
wtf is happening in pdx late flight march such that one way from sfo is 550?,0
"my luggage is gone. i have filed my paperwork, promised a callemail. still no resolution or response from central luggage.",0
i requested a mileage challenge for status several weeks ago online but have not heard back. how do i get help with this?,0
"just trying to book tickets to nyc and facing super fun broken styling. do not worry, i will keep trying",0
applied for status match on feb 1. got confirmation email same day. still no news though. you guys have dropped ball late flightly,0
trying to checkin...but looks like your site is down?,0
"spending my birthday night with you, daldca. get me home!",0
sent a couple messages to the email you provided but to no avail. will try again next year. cheers.,0
"seriously, though. will there not be direct flights from sfofll in may???",0
it is fine. already done with my purchase. but you should try it. just go most of the way through then go back 3,0
"not really the experience i was hoping 4, i ws forced 2 check in a small carry on, w nothing but empty cabin space on board",0
wjere is our luggage slow at lax,0
"i spoke with a representative that offered no solution, i am a loyal customer who flies on as well",0
i am deeply disappointed that your birthday promo was not applied to a trip i booked mere days before i received the email,0
"what happened to direct flights from sfofll? looking in may, only see connecting",0
i have 2d and 3d embossed badges and patches superior to the ones you are currently using.,0
on vx399 from jfk to la dirty plane not up to your standards.,0
on flight vx399 headed to la from jfk dirtiest va plane i have ever been on. sad for a great airline.,0
your avis rental continue button does not work on your website to book car. tried 4 times on phone. this sucks!,0
delayed to10.30!!,0
currently in minute 10 of being on hold with cust. service. do i need to do anything to add a lap child to my reservation?,0
comenity bank is a joke! please change. nothing but constant problems with this bank,0
", i submitted a status match request a while back and still have not heard! i am flying on monday. can you look accelerate?",0
i am pulling my hair out trying to book a flight with you. your site does not work on iphone or ipad.do not have a computer,0
can i get some help with a support ticket? it is been 15 days... incident 150202000419 thank you!,0
i cannot even open my laptop in seat 4c and i paid a premium for this?!! let me out of here!,0
i am in seat 4c and i cannot even open my laptop and i paid extra for this seat!!,0
fyi the info.com email address you say to contact in password reset emails does not exist. emails bounce.,0
status match 2 weeks have gone by and no news.flt next week hope flt will count towards requirement. cust svc no help!!!,0
your website sucks donkey dicks. just thought you should know. all best.,0
all crap channels which is why i pay to watch uk tv,0
how come you do not have an iphone app? still using and making me waste paper.,0
your back of seat entertainment system does not accept credit cards that have an apostrophe in the surname.,0
when will vx use all 6 lga slots instead of 4 today? adding aus makes this less likely,0
sad to learn you no longer fly sfo gt phl. hope it returns!,0
kind of sucked my earphone jack did not work on my flight. they may want to look into that for future passengers,0
very poor experience. first computer problem now seat malfunction. stuck. missing meeting in san diego.,0
"i tried that. you offered to charge me an additional 1k for a new ticket or be stranded until thurs. 1st time, last time.",0
"never had a bad experience before, but this one took the cake. now extortion for carry on items as well?",0
had to spend 5 hours worrying that items in carryon would be brokenstolen since i could not carry them on plane or lock bag.,0
"all of group e was told there was no more room in the bins. when i got on the plane, was room for at least 4 bags in my row!",0
thanks for making my flight from lax to jfk a nightmare by forcing me to check my carry on bag at the gate. 1,0
i have lots of flights to book and your site it not working!!!! i have been on the phone waiting for over 10 minutes...,0
why is it taking 12 years to fly home to dallas? get your shit together.,0
man of steel flies to more cities though...and with more frequency too.,0
started my flight with a scolding for using an overhead bin that was then offered to the person seated next to me.,0
"while other airlines were not cancelled flighting flights into bos, and helping their customers get home, virgin was saying good luck!",0
grouping virgin in with the others now. bos weather has exposed their actual cus serv model. never flight booking problems with virgin again!,0
"as one of the travelers affected by the boston storm, i am shocked at virgins complete apathy toward their customers.",0
umm so no reason as to why this is? is there someone different i should contact or contact me to get a definitive answer?,0
trying to make the change in advance not just 24 hours priortried it online earlier and it wanted 300 in change fees.,0
"mood lighting on point reclining my seat, kickin up my feet",0
my flight 6000 scheduled for 1pm departure still says on time but no plane at gate. any update on how long of a delay?,0
my group got their cancelled flightlation fees waived but i cannot because my ticket is booked for 218? your reps were no help either,0
still no refund or word via dm. please resolve this issue as your cancelled flightled flight was useless to my assistants trip.,0
delayed due to lack of crew and now delayed again because there is a long line for deicing... still need to improve service,0
your eriord express connections are hugely popular ... now if only we could have an eriewr hop!,0
you think you boarded flight au1066 too early? i think so.,0
"gate agent hooked me up with alternate flights. if you have a way to prevent the constant issues, that would rock.",0
is the worst. nonrefundable first class tickets? oh because when you select globalfc their system auto selects economy wupgrade.,0
so i can buy tix 3 days before flight but cannot transfer the tix. flawed security logic. flawed customer service,0
"i did start a claim but 810 weeks is unrealistic, am i really supposed to go that long with out a car seat for my child.ridiculous!",0
"if the car seat is lost should just reimburse me for a new one, this is not a pair of shoes, it is a necessity for my child",0
that totally sucks my cousin worked at phl said,0
